country,year,tourism_exports,gdp,inflation,unemployment
Mauritius,2017,37.1875308050558,13713506130.6081,3.66699702675916,6.752
Mexico,2017,5.01662926638973,1190721475906.0,6.04145724018986,3.419
Moldova,2017,14.1693461263508,9514404016.20949,6.57022997455605,1.586
Norway,2017,4.54882378353528,401745275035.261,1.87510059552554,4.164
Panama,2017,25.1443277109657,64327688800.0,0.875585918759878,5.461
Paraguay,2017,2.61412211122524,38997129473.5558,3.60247741348943,6.138
Peru,2017,8.60798529377611,211007984080.911,2.99490045809443,3.691
Romania,2017,3.98408211415776,210147385855.419,1.3390212110439,4.927
Russian Federation,2017,3.63912924879851,1574199360089.0,3.68332944412233,5.238
Slovenia,2017,7.54870683612567,48153200134.6613,1.42910743319306,6.565
Sri Lanka,2017,26.6346247610369,94376237797.2367,7.70413767850602,4.046
Turkiye,2017,14.0117987640641,858988492853.742,11.1443110840765,10.919
Ukraine,2017,3.74277028029067,112090505081.739,14.4383227488749,9.5
United States,2017,9.76238234904741,19612102000000.0,2.13011000365961,4.355
Armenia,2018,27.5622585097933,12457940694.7395,2.52023382001638,10.589
Australia,2018,14.4656698918506,1427809041019.44,1.91140094445691,5.3
Azerbaijan,2018,11.1018339663989,47112470051.7701,2.26854690373999,4.9
Belgium,2018,2.28597339362071,542638913427.921,2.05316499865186,5.941
Bulgaria,2018,11.6359780486734,66289266348.6504,2.81454473824829,5.211
Colombia,2018,12.3873830529324,334198218098.276,3.24056932930569,9.36
Costa Rica,2018,18.9608711422689,62420164991.5374,2.22111461526581,9.01
El Salvador,2018,18.109764027791,26020850000.0,1.09033000581892,4.006
Finland,2018,5.37693301025121,273869255596.078,1.08382098409305,7.361
France,2018,8.02725985500953,2781576320884.39,1.85081508315502,9.018
Hungary,2018,7.15091285498882,160565642983.587,2.85024792594646,3.709
Indonesia,2018,8.45318976671233,1042271532953.49,3.1983464156241,4.387
Japan,2018,4.86928999618968,5040880939324.86,0.989094598021848,2.467
Kazakhstan,2018,3.99576575701656,179339977690.485,6.16366247577751,4.85
"Korea, Rep.",2018,3.16517431474195,1725373496825.43,1.47583935002645,3.824
Luxembourg,2018,4.03548024833655,71000359760.4611,1.5281952430738,5.589
"Macao SAR, China",2018,90.9085774438829,55190661339.7796,3.00446293166938,1.834
Mauritius,2018,38.6891448213498,14735695930.9727,3.21605383144579,6.427
Mexico,2018,4.84466653434979,1256300182879.73,4.89935015356551,3.275
Moldova,2018,14.4823011797283,11252353420.8798,3.04505397337071,1.196
Norway,2018,4.40232890303674,439788625883.8,2.76483134528788,3.801
Panama,2018,25.227445595528,67316471200.0,0.761578359399944,5.313
Paraguay,2018,2.56738272535982,40225448340.6322,3.97561015740694,6.217
Peru,2018,8.12450032618862,222597009739.235,1.50915423024742,3.492
Romania,2018,3.83659411423118,243468683030.34,4.62548443137779,4.187
Russian Federation,2018,3.68392450768582,1657328773461.31,2.87829723647884,4.871
Slovenia,2018,7.35091568881243,53689067639.9176,1.7386086198818,5.108
Sri Lanka,2018,27.6749773558156,94493871200.7869,2.135037737132,4.318
Turkiye,2018,15.0548942421403,778972108040.602,16.3324638988928,10.956
Ukraine,2018,3.8342599320682,130891088293.55,10.9518559353178,8.799
United States,2018,9.51771493660271,20656516000000.0,2.44258329692817,3.896
Armenia,2019,26.6848788454114,13619290539.2116,1.44344660770698,9.794
Australia,2019,14.013694331623,1392723834562.64,1.61076787290379,5.159
Azerbaijan,2019,8.47878217179779,48174235294.1176,2.61057182799215,5.0
Belgium,2019,2.37596417941648,536726344405.489,1.43681956996429,5.364
Bulgaria,2019,10.9738397015443,68631726289.2794,3.10372944796781,4.23
Colombia,2019,13.2179825302544,323031701192.84,3.52301932741447,10.28
Costa Rica,2019,18.826592424136,64417670521.3545,2.09604635327807,10.807
El Salvador,2019,20.6535926823786,26881140000.0,0.0753241350024612,4.17
Finland,2019,5.48082615560132,267014821129.411,1.02409392963431,6.695
France,2019,7.98826694775337,2722793515171.76,1.10825492288294,8.415
Hungary,2019,7.64670209094001,164020460331.659,3.33858635382008,3.419
Indonesia,2019,9.19805342441142,1119099871385.79,3.03058664969487,3.59
Japan,2019,5.43966806815605,5117993853016.51,0.46877615938395,2.351
Kazakhstan,2019,4.34202472187034,181667184854.501,5.33356098916669,4.8
"Korea, Rep.",2019,3.85401028422418,1651422932447.77,0.383000303608136,3.746
Luxembourg,2019,3.92733036812293,69890505323.5842,1.74332075653848,5.592
"Macao SAR, China",2019,90.3622324071874,55082293844.1008,2.75193081051982,1.749
Mauritius,2019,38.4923958461307,14436346979.6355,0.405655190309553,6.331
Mexico,2019,5.11718244937811,1304106203694.81,3.63596142127046,3.477
Moldova,2019,14.3910824442448,11736797054.6965,4.83778351428728,1.466
Norway,2019,4.81268217883198,408742840909.091,2.16773003305402,3.684
Panama,2019,24.8480021953217,69778991200.0,-0.355083821021245,6.409
Paraguay,2019,2.85636233475144,37925338329.1494,2.75709727562775,6.595
Peru,2019,8.60156944403926,228346006003.648,2.25212191358027,3.379
Romania,2019,4.20212645845957,251677082534.495,3.82785432599438,3.912
Russian Federation,2019,3.57805477178706,1693115002708.32,4.47036660760173,4.513
